GeneID	#PubMed	Symbol
7157	11288	TP53
1956	6508	EGFR
7124	6339	TNF
3569	5293	IL6
7422	5118	VEGFA
348	5020	APOE
7040	4889	TGFB1
4524	3803	MTHFR
3091	3762	HIF1A
207	3603	AKT1
2099	3588	ESR1
6774	3487	STAT3
3586	3423	IL10
672	3359	BRCA1
4790	3304	NFKB1
2064	3287	ERBB2
1499	3206	CTNNB1
3553	3122	IL1B
4318	3114	MMP9
351	2994	APP
3845	2923	KRAS
3123	2838	HLA-DRB1
1636	2733	ACE
5728	2733	PTEN
7099	2689	TLR4
367	2649	AR
673	2642	BRAF
1029	2624	CDKN2A
4609	2547	MYC
5243	2537	ABCB1
627	2476	BDNF
3576	2440	CXCL8
1401	2421	CRP
29126	2419	CD274
9370	2417	ADIPOQ
110806262	2410	LOC110806262
2475	2405	MTOR
7421	2391	VDR
6532	2381	SLC6A4
5743	2289	PTGS2
5594	2254	MAPK1
2944	2252	GSTM1
5468	2229	PPARG
596	2182	BCL2
999	2174	CDH1
4846	2161	NOS3
3106	2155	HLA-B
6622	2144	SNCA
7852	2140	CXCR4
675	2139	BRCA2
4193	2139	MDM2
3458	2104	IFNG
4137	2086	MAPT
7015	2035	TERT
1312	2034	COMT
3479	2032	IGF1
920	2014	CD4
4313	1954	MMP2
1080	1896	CFTR
2952	1887	GSTT1
3952	1860	LEP
1026	1818	CDKN1A
4780	1768	NFE2L2
595	1750	CCND1
3717	1735	JAK2
23411	1702	SIRT1
2950	1686	GSTP1
5290	1668	PIK3CA
1234	1625	CCR5
5970	1616	RELA
3105	1609	HLA-A
6347	1594	CCL2
7097	1581	TLR2
3605	1571	IL17A
3119	1545	HLA-DQB1
4851	1542	NOTCH1
406991	1522	MIR21
5054	1503	SERPINE1
472	1485	ATM
2147	1467	F2
2146	1465	EZH2
2932	1460	GSK3B
6714	1460	SRC
5595	1457	MAPK3
142	1448	PARP1
6387	1439	CXCL12
1432	1429	MAPK14
960	1419	CD44
3688	1417	ITGB1
3146	1385	HMGB1
4233	1384	MET
5925	1373	RB1
10413	1355	YAP1
332	1336	BIRC5
2153	1331	F5
3383	1311	ICAM1
7515	1306	XRCC1
1813	1304	DRD2
2033	1301	EP300
1493	1298	CTLA4
6667	1292	SP1
7316	1292	UBC
3725	1281	JUN
3320	1277	HSP90AA1
6647	1275	SOD1
5879	1274	RAC1
3565	1271	IL4
2100	1263	ESR2
5444	1263	PON1
3065	1254	HDAC1
2908	1246	NR3C1
355	1236	FAS
3480	1226	IGF1R
836	1224	CASP3
59272	1221	ACE2
3690	1197	ITGB3
5133	1179	PDCD1
3162	1164	HMOX1
857	1159	CAV1
6696	1154	SPP1
3606	1152	IL18
3815	1147	KIT
4879	1137	NPPB
183	1136	AGT
114548	1134	NLRP3
50943	1132	FOXP3
387	1126	RHOA
154	1111	ADRB2
1543	1110	CYP1A1
335	1106	APOA1
983	1099	CDK1
581	1099	BAX
1027	1095	CDKN1B
1557	1087	CYP2C19
6772	1086	STAT1
3791	1076	KDR
4292	1075	MLH1
120892	1070	LRRK2
1565	1069	CYP2D6
3107	1060	HLA-C
4869	1058	NPM1
5747	1049	PTK2
3557	1037	IL1RN
5599	1030	MAPK8
3309	1024	HSPA5
7450	1015	VWF
4312	1013	MMP1
177	1003	AGER
3552	995	IL1A
3077	993	HFE
3630	990	INS
3958	988	LGALS3
79068	984	FTO
4000	984	LMNA
324	977	APC
185	977	AGTR1
64127	976	NOD2
4088	973	SMAD3
23435	973	TARDBP
4288	968	MKI67
5979	965	RET
6648	963	SOD2
8878	963	SQSTM1
1559	961	CYP2C9
3135	956	HLA-G
841	955	CASP8
5578	953	PRKCA
