P13096	P08181
P23572	P54733
Q9VI13	P40792
Q9VI13	P48554
Q9VI13	P40792
Q9VI13	Q9VIN1
Q9VIN1	Q9VR89
Q9VIN1	Q9VAP2
Q9VIN1	Q9U1L6
Q95RG8	Q9VIN1
Q9VIN1	Q95RG8
Q7K2X1	Q9VIN1
Q9VC66	Q9VIN1
Q7JNE1	P18491
Q00168	Q9VU84
Q9VI64	Q94524
P21187	Q9VI64
Q9VI64	Q8MSX2
Q27934	Q95RR8
P02828	Q27934
Q8SWU7	Q27934
Q27934	Q9W325
P84051	Q27934
P22769	Q27934
Q27934	Q9W403
Q27934	Q9W1A4
Q27934	O18335
Q9VK57	Q27934
Q27934	Q9VCE6
Q27934	Q9VM11
Q9VG31	Q9W191
Q7JN06	Q7JN06
Q7JN06	Q9VN89
Q9VN89	Q7JN06
Q7JN06	P52295
Q7JN06	Q7JXC4
Q27889	Q7JN06
Q9VCK0	Q9Y0Y7
Q9VM69	Q9VRS0
Q7K3Q3	Q7K3Q3
Q7K3Q3	Q95TJ9
Q7K3Q3	P08182
Q9VJD8	Q7K3Q3
Q9VN89	Q9VN89
Q9V3Z4	Q7KMP8
Q9V769	Q9XZ15
Q9V771	Q9VX37
Q9VPF3	A1Z9X0
Q9VYG2	A1Z9X0
A1Z9X0	O97111
O97111	A1Z9X0
Q9VVT5	A1Z9X0
Q8IRH5	Q9VIT0
Q9VCJ3	Q9V3P0
P13008	Q9VP67
P13008	Q8T0S6
P13008	Q9W191
P13008	Q7KVQ0
P13008	P00528
P13008	Q7KNA0
P13008	Q8MLW7
Q9VM49	Q9VES0
Q8IRH5	Q9VES0
Q9VL71	Q9VES0
Q24113	Q9VQ22
Q9VTV9	Q9VTV9
Q9VTV9	Q95TK5
Q7KLW9	Q9VJ62
Q9VJ57	Q9VHR7
Q9VIT3	Q94524
Q9V458	Q9VIT3
P48592	Q9VIT3
Q02748	Q9VIT3
Q9VXX8	Q9VIT3
Q8IRH5	P48809
Q8IP72	P48809
O46036	P48809
Q9VJ19	Q24558
Q9VRC8	Q24558
Q07327	Q24558
Q9VQS0	Q24558
Q23985	Q24558
P10734	Q24558
Q9VVK7	Q9VI16
Q9W0N9	Q9VI16
Q9VPH4	Q9VI16
O46036	Q9VI16
Q9VBU9	Q9VAZ1
Q9VHX1	Q9VAV6
Q9VRS0	Q9VLV5
Q9VPT7	Q9VRS0
P25171	O77051
P23573	P40417
P23573	Q960X8
Q9VP67	Q9V3P3
P08181	Q9VP67
Q9VTU4	Q9VP67
Q7JXF5	Q9VP67
Q9VX17	Q9VP67
A1ZAC7	Q9VP67
Q9VBT7	Q9VQF5
P22812	Q9VWE1
P22812	Q7KLE5
P22812	Q9VFV9
Q7JZZ3	Q9W2M4
Q9W2M4	Q86B87
Q9W2N0	Q9VY14
P48603	Q9W2N0
Q9W2N0	P48603
Q8SY07	Q9VP78
Q9VRP2	O44424
Q24090	Q9VX05
Q24090	Q9VJA9
Q23985	Q24090
Q24090	Q9VYG2
Q24090	Q9VHR7
Q95RI5	Q24090
P22058	Q24090
Q9VJ19	Q9W403
Q9W4M0	Q9VJ33
Q7JXA8	Q7JXA8
Q7JXA8	Q9VF72
Q7JXA8	Q9VA54
Q7JXA8	Q23985
Q9VTZ0	Q9VUY6
Q9V434	Q9VCR6
Q8IRH5	Q9W3Y7
Q9VC90	Q9W3Y7
Q9VWT2	Q9W3Y7
Q9VJ03	Q8T3J9
P36179	O77051
P47980	O77051
Q24318	O77051
Q24318	O77051
P17336	O77051
O77051	O62530
Q9VTH4	O77051
P40427	O77051
Q9VPF3	Q9VU89
Q9VK57	Q9VU89
O46036	Q9VU89
Q9VU88	Q9W2H9
Q9W4S7	Q8IRJ8
Q9W4S7	Q4LBB9
Q9W4S7	Q9U9Q2
Q9V637	Q8SX86
Q9Y112	Q9VLG9
Q9W418	P54611
Q9V3J1	P54611
O61348	P54611
Q9VGS2	P54611
Q9VWQ2	P54611
Q9V3U6	P54611
Q9VDP7	Q9VFQ9
Q9VNE9	P40796
P48603	P40796
Q1LZ24	Q9VU21
Q8IRH5	Q9VU21
Q05856	Q9VU21
Q9W261	Q9VLV5
Q9W3J8	Q9VFV9
Q9W3I9	Q9W3I9
Q9W3I9	Q9VCQ8
Q9W3I9	Q9W5W8
Q9VN39	Q9V3E7
Q9VMB9	Q9VAP2
Q05825	P48451
Q7JXZ2	Q9W1H5
Q9W1H5	Q7KLE5
Q9VM95	Q9VJD8
Q9V3P2	Q9VM95
Q9VM11	Q9W3G0
Q9VTT9	Q8T0S6
P55828	Q8T0S6
P13469	Q8T0S6
P84040	Q8T0S6
Q8T0S6	Q9VCR6
Q9U6R9	Q8T0S6
Q8SX89	Q8T0S6
O18640	Q8T0S6
Q9VM49	Q9VM49
Q9VM49	Q9VAQ7
P41092	Q9VM49
Q9U6L5	Q9VM49
Q9VM49	Q9VQF5
Q9VM49	Q9W424
Q9VL71	Q9VM49
Q9VM49	Q9VEX9
Q9VM49	Q9VTH8
P80455	Q9W255
P52304	Q9VAQ1
Q9VX05	Q9VAQ1
Q9VAQ1	P08182
Q9VWQ2	Q9VAQ1
Q03334	Q9V9X4
Q8MUJ1	Q9VZJ3
Q9VZJ3	Q9VBJ6
Q9VZJ3	Q9VAF4
Q9VZJ3	Q9W3Z4
Q9VZJ3	Q02361
Q95TJ6	Q9VZJ3
Q9VZJ3	Q9VIJ0
Q9VI32	Q95RG8
Q9XZS8	P18289
Q9VR64	Q9VPK4
Q2PE14	Q9VPK4
Q9VHG6	Q9VPK4
Q9W299	Q9VM22
P20439	Q95RR8
Q95RR8	Q02361
Q95RR8	Q9VYG2
O18640	Q95RR8
P23572	Q9VNV2
Q9VNE9	Q95TJ9
Q9W5R8	Q95TJ9
Q9VAN7	Q95TJ9
F3YDF1	Q95TJ9
Q23985	Q95TJ9
P23572	Q95TJ9
Q9VXP3	Q95TJ9
Q9V3U6	Q95TJ9
Q9VJI7	Q9V9V9
P23380	Q9V9V9
Q9V3W7	Q9V9V9
Q9VWC8	Q7JX82
Q07327	Q7JX82
Q9W5R8	Q7JX82
Q9VBX7	Q7JX82
Q7JX82	Q9VBA5
Q95RE4	Q7JX82
O97111	Q7JX82
E2QCZ3	Q7JX82
Q9W418	Q9W325
Q27580	Q7KML2
Q9V3Y8	Q9VG03
P54359	Q9VG03
Q0KHV6	Q9VG03
Q8T079	Q9VG03
Q9VCG4	Q9VG03
Q9VX17	Q9VG03
Q9VS59	Q9VG03
Q9VZD7	Q9VR89
Q9W2Y4	Q9VR89
Q27889	Q9VR89
P45594	Q9VHM0
Q7KRI2	Q9VHM0
Q7JXC4	P61851
Q7K490	Q9U9Q2
Q94518	Q9VPR2
Q9W418	Q9VAP2
Q9W4M8	Q9VAP2
Q9VAP2	Q9W4M8
P15372	Q9VAP2
Q9VTT2	Q9VAP2
Q9VX05	Q9XYN7
Q9VZY7	Q9XYN7
Q9XZ68	Q9VN77
Q9W083	Q9Y106
P07486	Q9VUY2
Q8SXM8	P48603
Q9VVH0	P13677
O62602	Q9V345
Q27403	P23696
Q9VAY9	Q9VQE5
Q9VXE5	Q9VSA3
Q24306	P21461
Q9V3B4	Q8IRY7
Q9VXX8	Q9VUR2
P52304	P18289
P52304	Q9W3Z4
P52304	P40301
P08879	Q94524
Q9VGM2	Q94524
Q9VWH7	Q94524
Q9TVQ5	Q7K127
P09052	Q7KN61
Q7KN61	Q9U9Q2
P42003	Q9W191
P02828	Q9V3E9
P02828	P48603
P02828	Q9VPN5
P02828	Q9VYC7
P02828	Q9VX37
Q24297	Q9VI10
Q9VI10	Q24297
Q9VI10	Q9VRT7
Q9VRT7	Q9VI10
Q9VNF8	Q7JRH2
Q9VNS4	Q9VYC7
Q7JXC4	Q9VNS4
P40417	P40417
Q9VDL2	Q6NP60
Q9VWC8	Q9VEP4
Q27297	Q9VWC8
Q9VWC8	P52486
Q9VJB3	Q9W466
P08879	Q9VRN3
Q7JWP6	Q9VRN3
Q7JW60	Q9V9V7
Q9VX05	Q9VX05
Q9VX05	Q9VX94
Q9VX05	Q9VRT9
Q9VX05	O44424
Q9VX05	Q9W4H1
Q9V3P3	Q9VX05
Q9VX05	Q7K4X4
Q9W0G6	Q9VX05
Q9VX05	O46106
P17704	Q9VX05
Q9VX05	Q9VHR7
Q9VX05	Q9VS38
Q9VDC1	Q9VX94
Q9VV90	Q9VMC7
Q9VV90	Q7KML2
Q9VVT5	Q9VV90
Q23985	Q9VIV8
Q9VYG2	Q9VIV8
Q9VS59	Q9VIV8
P48605	Q9VIV8
Q7K2X1	Q9VL65
P17704	A1Z8V7
Q8SWV6	A1Z8V7
Q24297	Q9VJI7
Q9VJI7	Q24297
Q9VLV5	Q9VJI7
Q9VJI7	Q9VKW8
Q9VRT7	Q9VJI7
Q9VJI7	Q9VRT7
Q9VJI7	O44437
Q8I8V0	Q9VRT9
Q8SY46	Q4LBB9
Q9VVT5	Q8SY46
Q7JZZ3	A1Z8Q7
Q7JZZ3	Q9VXA3
Q9V6Q2	Q9V3F2
A1Z9G7	Q05856
Q03334	Q9VVR6
P08879	Q9VVR6
Q9VT04	Q9VVR6
P05389	Q9VVR6
P23696	Q9VVR6
O18640	Q9VVR6
P36179	Q9U6R9
Q9VHW0	P36179
P36179	P52486
Q03334	Q9W503
Q03334	Q9VYC7
Q7K3W4	Q05856
Q9V3E9	P48603
Q9VK57	Q9V3E9
Q9V3E9	Q9VK57
Q9W237	Q9W191
Q9VAC1	Q9W191
Q7KNS3	Q9W191
Q9VS59	Q9VC70
Q9W4M8	Q9VC60
Q9VPH4	Q9VC60
Q9VMM4	Q9VVH6
Q9U1L6	Q9VVH6
Q9W3Z4	Q9VVH6
P48159	Q9VVH6
Q86BB1	Q9VVH6
Q9VWQ2	Q95RA8
Q9NBK5	Q95RA8
Q9W0S8	Q9VKD6
P62152	Q9VB28
Q8IPG9	Q9VMJ2
P20439	Q9VMJ2
Q7KML2	Q9VMJ2
P48461	Q9VMJ2
Q8I8V0	Q9VMJ2
Q9VMM4	Q8T3J9
Q9VTA8	Q9V3M9
Q9VE80	Q9VW76
Q9VWG3	Q7JXC4
P13469	Q24564
Q9VM05	Q24564
Q9VBD2	Q9VBD6
Q9VY76	Q9VG11
Q9VNX6	Q9VG11
Q9XZT7	Q9VY14
Q9VVK7	Q9VY14
Q9VGS2	Q9VY14
Q9V3U6	Q9VY14
Q9VY14	Q8MSX2
Q9V393	Q9VBJ6
Q9VQS0	Q9VBJ6
Q9VM05	Q9VBJ6
Q9VS59	Q9VBJ6
O18640	Q9VBJ6
P21461	Q9VBJ6
Q9VQY9	Q9VBI1
A1Z7A5	Q9VBI1
P20439	Q9VBI1
P06002	Q9VBI1
Q7K4W1	Q9VBI1
Q9W0I7	Q9VBI1
Q9VBI1	Q9W0I7
Q9U1L6	Q9VAC8
Q9U1L6	Q23985
Q9U1L6	Q9VFQ9
Q9VMZ5	A1Z8Q7
Q7KRU8	Q9VA83
Q9VA83	P40427
Q9VA70	O97111
Q7KND8	O44424
Q7K2X1	O44424
Q9VYG2	O44424
Q9VHR7	O44424
Q9V455	O44424
Q8I8V0	O44424
Q7JXC4	Q9VNE9
Q8T079	Q9VFE8
Q9W4C1	Q9VF72
Q9W5R8	Q9VF72
Q9VF72	Q9W457
P20439	Q9VF72
O77477	Q9VF72
Q9VV40	Q9VF72
Q9W4E4	Q9VF72
Q9VTT2	Q9VF72
Q9V393	Q9VTV7
Q9V393	Q86B87
Q9V393	Q9VY76
Q23985	Q9V393
Q9V393	Q9VXX8
Q9VCY3	Q9XZ58
Q9VER8	Q8IP72
Q9VKF2	O77430
Q9V9R2	Q9VYC7
P12881	Q9V5C6
Q8IRH5	Q9VYW3
P08182	Q7K4X4
P08181	P08182
Q23985	P08182
Q05856	P08182
P41093	P08182
Q9VAT2	Q9VXE5
Q9VQS4	P12982
Q00168	Q8SXG7
O18332	Q8SXG7
P39018	Q8SXG7
Q9W0U6	Q8SXG7
Q9V3U6	Q8SXG7
P41092	Q9VQF5
Q9VN19	Q8SXG7
P41092	Q9VSS2
Q7JXF5	Q9W4H1
