gene	disease
uniprotkb:E5RHN4	Craniosynostosis
uniprotkb:Q9NR63	Craniosynostosis
uniprotkb:E7ER08	Craniosynostosis
uniprotkb:E5RHM2	Craniosynostosis
uniprotkb:Q9Y6N9	Usher syndrome
uniprotkb:A0A0S2Z4U9	Usher syndrome
uniprotkb:A0A0S2Z4V1	Usher syndrome
uniprotkb:E9PNW1	Usher syndrome
uniprotkb:Q9Y6N9	Nonsyndromic deafness
uniprotkb:A0A0S2Z4U9	Nonsyndromic deafness
uniprotkb:A0A0S2Z4V1	Nonsyndromic deafness
uniprotkb:E9PNW1	Nonsyndromic deafness
uniprotkb:Q9Y6N9	Nonsyndromic deafness
uniprotkb:A0A0S2Z4U9	Nonsyndromic deafness
uniprotkb:A0A0S2Z4V1	Nonsyndromic deafness
uniprotkb:E9PNW1	Nonsyndromic deafness
uniprotkb:Q9Y6N9	Retinitis pigmentosa
uniprotkb:A0A0S2Z4U9	Retinitis pigmentosa
uniprotkb:A0A0S2Z4V1	Retinitis pigmentosa
uniprotkb:E9PNW1	Retinitis pigmentosa
uniprotkb:P26006	Epidermolysis bullosa
uniprotkb:K7EMU3	Epidermolysis bullosa
uniprotkb:D6R9X8	Epidermolysis bullosa
uniprotkb:A0A024R0Q7	Alzheimer's disease
uniprotkb:A8MU39	Alzheimer's disease
uniprotkb:P53041	Alzheimer's disease
uniprotkb:A0A024R0Q7	Neurodegenerative disease
uniprotkb:A8MU39	Neurodegenerative disease
uniprotkb:P53041	Neurodegenerative disease
uniprotkb:A0A024R0Q7	Amyloidosis
uniprotkb:A8MU39	Amyloidosis
uniprotkb:P53041	Amyloidosis
uniprotkb:A0A024R0Q6	Xeroderma pigmentosum
uniprotkb:K7ES46	Xeroderma pigmentosum
uniprotkb:P07992	Xeroderma pigmentosum
uniprotkb:K7EJL2	Xeroderma pigmentosum
uniprotkb:K7ER60	Xeroderma pigmentosum
uniprotkb:K7ER89	Xeroderma pigmentosum
uniprotkb:K7EK97	Xeroderma pigmentosum
uniprotkb:K7EP14	Xeroderma pigmentosum
uniprotkb:A0A024R0Q6	Coloboma
uniprotkb:K7ES46	Coloboma
uniprotkb:P07992	Coloboma
uniprotkb:K7EJL2	Coloboma
uniprotkb:K7ER60	Coloboma
uniprotkb:K7ER89	Coloboma
uniprotkb:K7EK97	Coloboma
uniprotkb:K7EP14	Coloboma
uniprotkb:A0A024R0Q6	Cataract
uniprotkb:K7ES46	Cataract
uniprotkb:P07992	Cataract
uniprotkb:K7EJL2	Cataract
uniprotkb:K7ER60	Cataract
uniprotkb:K7ER89	Cataract
uniprotkb:K7EK97	Cataract
uniprotkb:K7EP14	Cataract
uniprotkb:Q7KZN9	Leigh disease
uniprotkb:Q7KZN9	Leigh disease
uniprotkb:Q7KZN9	cytochrome-c oxidase deficiency disease
uniprotkb:B8ZZ29	Epilepsy
uniprotkb:Q9BRB3	Epilepsy
uniprotkb:J3QTH6	Epilepsy
uniprotkb:A0A1B0GUF6	Epilepsy
uniprotkb:H0YFM9	Epilepsy
uniprotkb:E7ERP4	Epilepsy
uniprotkb:B8ZZ31	Epilepsy
uniprotkb:D6RJI5	Ehlers-Danlos syndrome
uniprotkb:Q9UBV7	Ehlers-Danlos syndrome
uniprotkb:D6RDJ8	Ehlers-Danlos syndrome
uniprotkb:D6RA33	Ehlers-Danlos syndrome
uniprotkb:H0Y9D6	Ehlers-Danlos syndrome
uniprotkb:D6RJI5	Ehlers-Danlos syndrome
uniprotkb:Q9UBV7	Ehlers-Danlos syndrome
uniprotkb:D6RDJ8	Ehlers-Danlos syndrome
uniprotkb:D6RA33	Ehlers-Danlos syndrome
uniprotkb:H0Y9D6	Ehlers-Danlos syndrome
uniprotkb:Q99972	Glaucoma
uniprotkb:A0A0S2Z421	Glaucoma
uniprotkb:A0A1W2PP09	Glaucoma
uniprotkb:Q9BZR6	Schizophrenia
uniprotkb:Q02223	Cancer
uniprotkb:K7ELY1	Neurodegenerative disease
uniprotkb:K7ERM2	Neurodegenerative disease
uniprotkb:K7EQA7	Neurodegenerative disease
uniprotkb:K7EPL0	Neurodegenerative disease
uniprotkb:K7ENN1	Neurodegenerative disease
uniprotkb:K7EK92	Neurodegenerative disease
uniprotkb:P28799	Neurodegenerative disease
uniprotkb:K7EM89	Neurodegenerative disease
uniprotkb:K7EQ05	Neurodegenerative disease
uniprotkb:K7ENI2	Neurodegenerative disease
uniprotkb:K7EQK6	Neurodegenerative disease
uniprotkb:K7EJY4	Neurodegenerative disease
uniprotkb:K7EMR1	Neurodegenerative disease
uniprotkb:K7ELY1	Neuronal ceroid lipofuscinosis
uniprotkb:K7ERM2	Neuronal ceroid lipofuscinosis
uniprotkb:K7EQA7	Neuronal ceroid lipofuscinosis
uniprotkb:K7EPL0	Neuronal ceroid lipofuscinosis
uniprotkb:K7ENN1	Neuronal ceroid lipofuscinosis
uniprotkb:K7EK92	Neuronal ceroid lipofuscinosis
uniprotkb:P28799	Neuronal ceroid lipofuscinosis
uniprotkb:K7EM89	Neuronal ceroid lipofuscinosis
uniprotkb:K7EQ05	Neuronal ceroid lipofuscinosis
uniprotkb:K7ENI2	Neuronal ceroid lipofuscinosis
uniprotkb:K7EQK6	Neuronal ceroid lipofuscinosis
uniprotkb:K7EJY4	Neuronal ceroid lipofuscinosis
uniprotkb:K7EMR1	Neuronal ceroid lipofuscinosis
uniprotkb:H7C5S7	Williams-Beuren syndrome
uniprotkb:P35250	Williams-Beuren syndrome
uniprotkb:Q75MT5	Williams-Beuren syndrome
uniprotkb:A0A087WVY3	Williams-Beuren syndrome
uniprotkb:H7C5G4	Williams-Beuren syndrome
uniprotkb:F8WDC9	Williams-Beuren syndrome
uniprotkb:F8WC37	Williams-Beuren syndrome
uniprotkb:C9J591	Cancer
uniprotkb:Q12774	Cancer
uniprotkb:A0A2R8YF49	Cancer
